NO.	XCOORD.	YCOORD.	DEMAND
0	35	35	0
1	41	49	10
2	35	17	7
3	55	45	13
4	55	20	19
5	15	30	26
6	25	30	3
7	20	50	5
8	10	43	9
9	55	60	16
10	30	60	16
11	20	65	12
12	50	35	19
13	30	25	23
14	15	10	20
15	30	5	8
16	10	20	19
17	5	30	2
18	20	40	12
19	15	60	17
20	45	65	9
21	45	20	11
22	45	10	18
23	55	5	29
24	65	35	3
25	65	20	6
26	45	30	17
27	35	40	16
28	41	37	16
29	64	42	9
30	40	60	21
31	31	52	27
32	35	69	23
33	53	52	11
34	65	55	14
35	63	65	8
36	2	60	5
37	20	20	8
38	5	5	16
39	60	12	31
40	40	25	9
41	42	7	5
42	24	12	5
43	23	3	7
44	11	14	18
45	6	38	16
46	2	48	1
47	8	56	27
48	13	52	36
49	6	68	30
50	47	47	13
51	49	58	10
52	27	43	9
53	37	31	14
54	57	29	18
55	63	23	2
56	53	12	6
57	32	12	7
58	36	26	18
59	21	24	28
60	17	34	3
61	12	24	13
62	24	58	19
63	27	69	10
64	15	77	9
65	62	77	20
66	49	73	25
67	67	5	25
68	56	39	36
69	37	47	6
70	37	56	5
71	57	68	15
72	47	16	25
73	44	17	9
74	46	13	8
75	49	11	18
76	49	42	13
77	53	43	14
78	61	52	3
79	57	48	23
80	56	37	6
81	55	54	26
82	15	47	16
83	14	37	11
84	11	31	7
85	16	22	41
86	4	18	35
87	28	18	26
88	26	52	9
89	26	35	15
90	31	67	3
91	15	19	1
92	22	22	2
93	18	24	22
94	26	27	27
95	25	24	20
96	22	27	11
97	25	21	12
98	19	21	10
99	20	26	9
100	18	18	17
101	41	49	10
102	35	17	7
103	55	45	13
104	55	20	19
105	15	30	26
106	25	30	3
107	20	50	5
108	10	43	9
109	55	60	16
110	30	60	16
111	20	65	12
112	50	35	19
113	30	25	23
114	15	10	20
115	30	5	8
116	10	20	19
117	5	30	2
118	20	40	12
119	15	60	17
120	45	65	9
121	45	20	11
122	45	10	18
123	55	5	29
124	65	35	3
125	65	20	6
126	45	30	17
127	35	40	16
128	41	37	16
129	64	42	9
130	40	60	21
131	31	52	27
132	35	69	23
133	53	52	11
134	65	55	14
135	63	65	8
136	2	60	5
137	20	20	8
138	5	5	16
139	60	12	31
140	40	25	9
141	42	7	5
142	24	12	5
143	23	3	7
144	11	14	18
145	6	38	16
146	2	48	1
147	8	56	27
148	13	52	36
149	6	68	30
150	47	47	13
151	49	58	10
152	27	43	9
153	37	31	14
154	57	29	18
155	63	23	2
156	53	12	6
157	32	12	7
158	36	26	18
159	21	24	28
160	17	34	3
161	12	24	13
162	24	58	19
163	27	69	10
164	15	77	9
165	62	77	20
166	49	73	25
167	67	5	25
168	56	39	36
169	37	47	6
170	37	56	5
171	57	68	15
172	47	16	25
173	44	17	9
174	46	13	8
175	49	11	18
176	49	42	13
177	53	43	14
178	61	52	3
179	57	48	23
180	56	37	6
181	55	54	26
182	15	47	16
183	14	37	11
184	11	31	7
185	16	22	41
186	4	18	35
187	28	18	26
188	26	52	9
189	26	35	15
190	31	67	3
191	15	19	1
192	22	22	2
193	18	24	22
194	26	27	27
195	25	24	20
196	22	27	11
197	25	21	12
198	19	21	10
199	20	26	9
200	18	18	17
